,conversion_value,product_view_0,product_view_1,product_view_2,product_view_3,product_view_4,has_conversion,user_id
0,0.0,jeans,t-shirt,t-shirt,none,none,False,0
1,0.0,jeans,t-shirt,jeans,jumper,none,False,1
2,105.19,t-shirt,jumper,t-shirt,t-shirt,none,True,2
3,0.0,t-shirt,t-shirt,jeans,none,none,False,3
4,0.0,t-shirt,socks,jeans,jeans,none,False,4
5,0.0,jumper,jumper,socks,none,none,False,5
6,181.57999999999998,jeans,jumper,jeans,none,none,True,6
7,0.0,t-shirt,jumper,none,none,none,False,7
8,0.0,jeans,t-shirt,none,none,none,False,8
9,0.0,jumper,none,none,none,none,False,9
10,0.0,socks,t-shirt,none,none,none,False,10
11,0.0,jumper,socks,t-shirt,socks,none,False,11
12,0.0,t-shirt,jeans,none,none,none,False,12
13,0.0,jeans,jumper,jumper,none,none,False,13
14,0.0,jumper,t-shirt,jumper,none,none,False,14
15,0.0,t-shirt,t-shirt,t-shirt,none,none,False,15
16,0.0,jeans,socks,jumper,jeans,jeans,False,16
17,0.0,jeans,socks,none,none,none,False,17
18,0.0,jumper,jeans,jeans,jeans,none,False,18
19,0.0,socks,jeans,socks,none,none,False,19
20,0.0,jumper,socks,jeans,none,none,False,20
21,0.0,socks,socks,jeans,none,none,False,21
22,0.0,jumper,t-shirt,socks,jeans,none,False,22
23,0.0,jeans,t-shirt,t-shirt,none,none,False,23
24,0.0,jeans,none,none,none,none,False,24
25,0.0,t-shirt,jumper,jumper,socks,jumper,False,25
26,0.0,t-shirt,none,none,none,none,False,26
27,0.0,jumper,socks,jeans,none,none,False,27
28,0.0,socks,jeans,jumper,none,none,False,28
29,0.0,t-shirt,jumper,socks,jumper,none,False,29
30,5.26,socks,none,none,none,none,True,30
31,0.0,jeans,socks,t-shirt,jeans,t-shirt,False,31
32,0.0,socks,socks,none,none,none,False,32
33,0.0,jumper,t-shirt,jeans,jeans,jumper,False,33
34,0.0,t-shirt,jeans,none,none,none,False,34
35,0.0,t-shirt,jeans,jeans,jumper,none,False,35
36,86.22,socks,jumper,jumper,none,none,True,36
37,0.0,t-shirt,socks,jeans,none,none,False,37
38,0.0,jeans,t-shirt,socks,jeans,none,False,38
39,0.0,t-shirt,socks,t-shirt,none,none,False,39
40,0.0,jumper,socks,none,none,none,False,40
41,0.0,t-shirt,t-shirt,t-shirt,jumper,none,False,41
42,193.61,t-shirt,jeans,jumper,t-shirt,jumper,True,42
43,0.0,t-shirt,t-shirt,t-shirt,t-shirt,none,False,43
44,0.0,socks,jumper,jumper,none,none,False,44
45,86.73,socks,jumper,jumper,none,none,True,45
46,0.0,jeans,jeans,jumper,none,none,False,46
47,147.20999999999998,socks,jeans,jeans,none,none,True,47
48,0.0,t-shirt,jumper,t-shirt,jumper,none,False,48
49,0.0,socks,t-shirt,t-shirt,none,none,False,49
50,0.0,socks,none,none,none,none,False,50
51,0.0,jumper,socks,socks,t-shirt,none,False,51
52,0.0,jumper,t-shirt,none,none,none,False,52
53,0.0,socks,socks,t-shirt,socks,none,False,53
54,52.43,socks,jumper,socks,none,none,True,54
55,73.7,jumper,socks,socks,t-shirt,none,True,55
56,0.0,t-shirt,jeans,socks,jumper,none,False,56
57,0.0,jeans,socks,socks,none,none,False,57
58,70.2,jeans,none,none,none,none,True,58
59,0.0,t-shirt,jeans,jeans,none,none,False,59
60,0.0,t-shirt,socks,t-shirt,jeans,none,False,60
61,0.0,socks,socks,none,none,none,False,61
62,0.0,jeans,t-shirt,socks,none,none,False,62
63,0.0,t-shirt,t-shirt,jeans,t-shirt,none,False,63
64,0.0,socks,t-shirt,none,none,none,False,64
65,0.0,jumper,t-shirt,jumper,socks,none,False,65
66,0.0,jumper,jumper,none,none,none,False,66
67,71.25,jeans,none,none,none,none,True,67
68,0.0,jeans,jeans,none,none,none,False,68
69,0.0,jumper,socks,none,none,none,False,69
70,0.0,socks,jumper,jumper,jumper,jeans,False,70
71,0.0,jumper,t-shirt,socks,jeans,t-shirt,False,71
72,0.0,t-shirt,t-shirt,none,none,none,False,72
73,0.0,t-shirt,none,none,none,none,False,73
74,0.0,jeans,t-shirt,none,none,none,False,74
75,0.0,t-shirt,t-shirt,t-shirt,none,none,False,75
76,0.0,jumper,jumper,jumper,none,none,False,76
77,0.0,t-shirt,jeans,none,none,none,False,77
78,0.0,t-shirt,t-shirt,jumper,jumper,none,False,78
79,0.0,jeans,jeans,jumper,none,none,False,79
80,0.0,jumper,t-shirt,t-shirt,socks,none,False,80
81,0.0,jumper,socks,t-shirt,none,none,False,81
82,0.0,t-shirt,t-shirt,none,none,none,False,82
83,0.0,socks,jumper,none,none,none,False,83
84,0.0,jeans,none,none,none,none,False,84
85,0.0,jumper,t-shirt,t-shirt,none,none,False,85
86,141.88,jeans,jeans,none,none,none,True,86
87,0.0,socks,t-shirt,none,none,none,False,87
88,0.0,socks,none,none,none,none,False,88
89,0.0,t-shirt,jeans,socks,none,none,False,89
90,0.0,jeans,jeans,socks,t-shirt,none,False,90
91,0.0,jeans,jeans,t-shirt,jeans,jeans,False,91
92,0.0,t-shirt,t-shirt,none,none,none,False,92
93,0.0,jumper,socks,none,none,none,False,93
94,0.0,t-shirt,socks,jumper,socks,none,False,94
95,0.0,socks,jumper,jeans,none,none,False,95
96,0.0,t-shirt,jeans,none,none,none,False,96
97,0.0,t-shirt,jeans,none,none,none,False,97
98,90.99000000000001,jeans,t-shirt,none,none,none,True,98
99,0.0,jeans,jeans,socks,none,none,False,99
